Year,Month,Type,Source,Amount
2021,10,Income,Business,369850.0
2021,10,Income,Salary,130000.0
2021,11,Expense,Bank Expenses,55596.45
2021,11,Expense,Car,26595.3
2021,11,Expense,Donations,1025.0
2021,11,Expense,Education ,0.0
2021,11,Expense,Family/Home,14415.0
2021,11,Expense,Fashion,200.0
2021,11,Expense,Finance,4675.67
2021,11,Expense,Foods,3635.0
2021,11,Expense,Health,0.0
2021,11,Expense,Office,2500.0
2021,11,Expense,Others,364.0
2021,11,Expense,Party/Gifts,1830.0
2021,11,Expense,Phone/Subscriptions,828.06
2021,11,Expense,Property ,0.0
2021,11,Expense,Reloads/Router,5600.0
2021,11,Expense,Sports,900.0
2021,11,Expense,Transports,9350.0
2021,11,Expense,Trips,2750.0
2021,11,Income,Bank Interests,45.75
2021,11,Income,Business,10570.0
2021,11,Income,Salary,130000.0
2021,12,Expense,Bank Expenses,54369.45
2021,12,Expense,Car,57828.34
2021,12,Expense,Donations,4342.0
2021,12,Expense,Education ,0.0
2021,12,Expense,Family/Home,10045.0
2021,12,Expense,Fashion,3050.0
2021,12,Expense,Finance,4675.67
2021,12,Expense,Foods,8485.0
2021,12,Expense,Health,1290.0
2021,12,Expense,Office,2500.0
2021,12,Expense,Others,661.0
2021,12,Expense,Party/Gifts,15000.0
2021,12,Expense,Phone/Subscriptions,838.56
2021,12,Expense,Property ,0.0
2021,12,Expense,Reloads/Router,6350.0
2021,12,Expense,Sports,385.0
2021,12,Expense,Transports,17630.0
2021,12,Expense,Trips,19620.0
2021,12,Income,Bank Interests,33.07
2021,12,Income,Business,63675.0
2021,12,Income,Salary,130000.0
